file_name,Pitch (Hz),Cutoff freq (MIDI),Cutoff freq (CV),Resonance (MIDI),Resonance (CV),Input delay (ms),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Spectral Roll-off (Hz),RMS Energy,Spectral Flatness,MFCCs_1,MFCCs_2,MFCCs_3,MFCCs_4,MFCCs_5,MFCCs_6,MFCCs_7,MFCCs_8,MFCCs_9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,Spectral Contrast (dB)_1,Spectral Contrast (dB)_2,Spectral Contrast (dB)_3,Spectral Contrast (dB)_4,Spectral Contrast (dB)_5,Spectral Contrast (dB)_6,Spectral Contrast (dB)_7
B4_r063_c095.wav,490.93408,95,7.4803,63,4.9606,44.00000000000004,1725.7335918005713,1899.374333997428,2972.0458984375,0.062839024,2.2295704e-05,-478.31714,90.76566,-89.119514,8.652543,-0.274537,-12.365903,-18.019892,-22.415993,-7.4826026,-10.373502,-22.490303,-20.969692,-17.79828,19.659790279107156,10.255311931040831,41.35760316204881,39.01943498568361,37.88091694825576,35.96075123109949,24.650156476269753
B4_r063_c111.wav,490.91733,111,8.7402,63,4.9606,44.00000000000004,2904.229711274884,2897.8829610434136,5569.7021484375,0.059723377,5.7722005e-05,-409.95834,10.633882,-75.40295,60.66873,-47.461914,-5.719908,-11.53199,-18.054789,-15.691002,-8.014486,-23.157745,-18.38719,-18.103045,18.985226376546205,11.115721576492211,41.06986263037344,38.784804349591354,37.978731951675364,35.21122994962737,35.54037519391904
B4_r063_c127.wav,490.79578,127,10.0,63,4.9606,44.00000000000004,3839.0462959793967,3913.075688219919,8353.02734375,0.058698222,0.00014780999,-381.11157,-32.0031,-41.034466,49.54732,-58.30895,14.145686,-24.33761,-17.278896,-8.468946,-14.949754,-21.699507,-15.10228,-22.564596,18.82124805766598,10.963434144381816,41.317924759693284,38.82142148685441,37.91635606415235,34.87028164315677,37.583870678554895
B4_r079_c015.wav,1172.8287,15,1.1811,79,6.2205,44.00000000000004,6817.720174650386,7966.9081240443675,17328.20012019231,0.0010605587,0.006728367,-754.2341,28.55371,24.715572,18.025602,17.98755,18.031725,12.380177,14.86353,8.67333,9.878434,6.2032385,11.128182,10.931408,20.93654610414547,8.040663006180624,14.388918729601142,12.69120845533739,14.823387313083202,13.875791822776096,19.668018577831315
B4_r079_c031.wav,457.814,31,2.4409,79,6.2205,44.00000000000004,6295.2149482639625,7306.101264824305,15603.721733668342,0.0012902899,0.007985597,-691.48303,47.515923,34.91773,26.315752,15.093203,9.946419,2.0887513,2.8177798,-3.5146441,-0.40628496,-3.670408,-1.4506385,1.1050377,14.827571462245558,8.667626720066417,25.973841425388244,15.880360341995688,13.199073824691016,13.052506832231078,15.078128667922567
B4_r079_c047.wav,490.2732,47,3.7008,79,6.2205,44.00000000000004,1833.246441003394,4296.853500775353,976.6036184210526,0.012617927,7.513468e-05,-654.50415,80.98882,45.848763,21.046705,3.5741699,-1.5163656,-9.354694,-10.203181,-17.227938,-16.169607,-20.000969,-17.992641,-15.414831,18.485651784451527,9.570406002718908,36.63066956147728,27.36024903016245,15.816246681467666,13.151898806445976,14.920150425921403
B4_r079_c063.wav,491.42783,63,4.9606,79,6.2205,44.00000000000004,787.3201859678505,1844.4958582051568,556.7626953125,0.08300097,1.2025585e-05,-584.31793,104.27299,36.74197,-6.6526504,-16.997702,-19.721779,-25.005066,-25.69501,-22.580252,-20.13996,-20.810568,-19.318405,-15.981587,19.208944177046995,11.643796473499592,39.604950733677335,36.538173653574184,26.481973961207785,15.291547072496954,14.95236627124435
B4_r079_c079.wav,491.38474,79,6.2205,79,6.2205,44.00000000000004,1237.0163727717418,1746.6951914902525,1513.866164921466,0.061870277,1.5638161e-05,-544.09814,127.21129,-36.379112,-44.085785,-18.853188,-11.079236,-3.2004712,-1.0275979,-17.53011,-18.88285,-21.18705,-17.155384,-13.686255,19.12057701302933,10.456239152718656,40.42847812491109,37.448978556446335,36.55286519583036,26.426874590080978,16.679716368458774
B4_r079_c095.wav,490.86215,95,7.4803,79,6.2205,44.00000000000004,2043.2507808382907,1990.0947293685083,3022.94921875,0.052706122,3.0232904e-05,-482.74765,79.19236,-97.037476,17.685833,8.114905,-15.171421,-24.347252,-16.703222,-0.69082195,-12.63372,-26.594656,-17.272966,-12.996525,19.066916308246064,10.085624255935643,40.8107584733552,38.42983274124357,39.49867164076222,37.91959278390533,24.87992379717227
B4_r079_c111.wav,488.32825,111,8.7402,79,6.2205,44.00000000000004,3541.792208902747,3192.1851594092464,6461.181640625,0.047150504,8.253389e-05,-418.64005,-4.6030374,-68.61338,68.292534,-56.214787,0.01950864,-5.5230184,-24.264532,-11.102656,-4.7086387,-28.06957,-14.789418,-16.260029,18.87421953024919,10.245755327047561,41.008276996633704,38.08639810246151,37.4073540490242,35.76513339320573,38.25971513389784
